year,date,median,low,high
2020,2020-11-08,2.0,0,20
2020,2020-11-09,2.0,0,9
2020,2020-11-10,3.0,0,11
2020,2020-11-11,2.0,0,9
2020,2020-11-12,3.0,0,10
2020,2020-11-13,3.0,0,11
2020,2020-11-14,2.0,0,11
2020,2020-11-15,2.0,0,8
2020,2020-11-16,3.0,0,10
2020,2020-11-17,3.0,0,10
2020,2020-11-18,2.0,0,9
2020,2020-11-19,3.0,0,11
2020,2020-11-20,3.0,0,11
2020,2020-11-21,2.0,0,11
2020,2020-11-22,2.0,0,9
2020,2020-11-23,2.0,0,9
2020,2020-11-24,3.0,0,11
2020,2020-11-25,2.0,0,9
2020,2020-11-26,1.0,0,6
2020,2020-11-27,2.0,0,10
2020,2020-11-28,2.0,0,10
2020,2020-11-29,2.0,0,8
